Player Name,Club,League,Nationality,Age,Height (cm),Weight (Kg)
Rodrigo Hernández Cascante,Atlético Madrid,LaLiga Santander,Spain,22,191,82
Thomas Teye Partey,Atlético Madrid,LaLiga Santander,Ghana,25,185,77
Gelson Dany Batalha Martins,Atlético Madrid,LaLiga Santander,Portugal,23,173,72
Lucas Pezzini Leiva,Lazio,Serie A TIM,Brazil,31,179,78
Jonathan Tah,Bayer 04 Leverkusen,Bundesliga,Germany,22,194,95
Willian José da Silva,Real Sociedad,LaLiga Santander,Brazil,26,189,93
Quincy Promes,Sevilla FC,LaLiga Santander,Holland,26,174,72
Éver Banega,Sevilla FC,LaLiga Santander,Argentina,30,174,71
Manuel Trigueros Muñoz,Villarreal CF,LaLiga Santander,Spain,26,178,75
Gerard Moreno Balagueró,Villarreal CF,LaLiga Santander,Spain,26,180,77
Jardel Nivaldo Vieira,SL Benfica,Liga NOS,Brazil,32,192,87
Ljubomir Fejsa,SL Benfica,Liga NOS,Serbia,30,184,80
Andrej Kramaric,TSG 1899 Hoffenheim,Bundesliga,Croatia,27,177,73
Aritz Aduriz Zubeldia,Athletic Club,LaLiga Santander,Spain,37,182,78
Ezequiel Garay,Valencia CF,LaLiga Santander,Argentina,31,189,90
Geoffrey Kondogbia,Valencia CF,LaLiga Santander,France,25,188,80
Gonçalo Manuel Ganchinho Guedes,Valencia CF,LaLiga Santander,Portugal,21,179,68
Daniel Wass,Valencia CF,LaLiga Santander,Denmark,29,181,74
Gabriel Armando de Abreu,Valencia CF,LaLiga Santander,Brazil,27,187,79
Timo Werner,RB Leipzig,Bundesliga,Germany,22,181,75
Kevin Strootman,Olympique de Marseille,Ligue 1 Conforama,Holland,28,186,78
Luiz Gustavo Dias,Olympique de Marseille,Ligue 1 Conforama,Brazil,31,187,78
Steve Mandanda,Olympique de Marseille,Ligue 1 Conforama,France,33,185,82
Taison Barcellos Freda,Shakhtar Donetsk,Ukrayina Liha,Brazil,30,172,64
Marlos Romero Bonfim,Shakhtar Donetsk,Ukrayina Liha,Ukraine,30,174,69
Hakim Ziyech,Ajax,Eredivisie,Morocco,25,180,65
Mario Balotelli,OGC Nice,Ligue 1 Conforama,Italy,28,189,88
Timo Horn,1. FC Köln,Bundesliga 2,Germany,25,192,90
Hirving Lozano,PSV,Eredivisie,Mexico,23,175,70
Vedran Corluka,Lokomotiv Moscow,League of Russia,Croatia,32,192,84
Rui Pedro dos Santos Patrício,Wolverhampton Wanderers,Premier League,Portugal,30,190,84
Ángel Luís Rodríguez Díaz,Getafe CF,LaLiga Santander,Spain,31,172,68
Thomas Strakosha,Lazio,Serie A TIM,Albania,23,193,78
Giuliano Victor de Paula,Al Nassr,Saudi Professional League,Brazil,28,172,68
Yannick Carrasco,Dalian Yifang FC,CSL,Belgium,25,181,73
Arthur Henrique Ramos Oliveira Melo,FC Barcelona,LaLiga Santander,Brazil,22,171,73
João Pedro Cavaco Cancelo,Juventus,Serie A TIM,Portugal,24,182,74
Lukasz Piszczek,Borussia Dortmund,Bundesliga,Poland,33,184,79
Roman Bürki,Borussia Dortmund,Bundesliga,Switzerland,27,187,85
Chris Smalling,Manchester United,Premier League,England,28,194,81
Marcus Rashford,Manchester United,Premier League,England,20,185,70
Benjamin Mendy,Manchester City,Premier League,France,24,185,85
Jasper Cillessen,FC Barcelona,LaLiga Santander,Holland,29,185,83
Marcos Alonso Mendoza,Chelsea,Premier League,Spain,27,188,84
Pedro Rodríguez Ledesma,Chelsea,Premier League,Spain,31,169,65
Andreas Christensen,Chelsea,Premier League,Denmark,22,188,78
Olivier Giroud,Chelsea,Premier League,France,32,192,88
James Milner,Liverpool,Premier League,England,32,175,70
Adam Lallana,Liverpool,Premier League,England,30,178,73
Dejan Lovren,Liverpool,Premier League,Croatia,29,188,84
Xherdan Shaqiri,Liverpool,Premier League,Switzerland,26,169,72
Andrew Robertson,Liverpool,Premier League,Scotland,24,178,64
Joel Matip,Liverpool,Premier League,Cameroon,27,195,90
Ben Davies,Tottenham Hotspur,Premier League,Wales,25,182,76
Serge Aurier,Tottenham Hotspur,Premier League,Côte d'Ivoire,25,176,76
Laurent Koscielny,Arsenal,Premier League,France,33,186,75
Petr Cech,Arsenal,Premier League,Czech Republic,36,196,90
Aaron Ramsey,Arsenal,Premier League,Wales,27,183,76
Shkodran Mustafi,Arsenal,Premier League,Germany,26,184,82
Gylfi Sigurðsson,Everton,Premier League,Iceland,29,186,82
Idrissa Gueye,Everton,Premier League,Senegal,29,174,66
Jesús Joaquín Fernández Sáez,Milan,Serie A TIM,Spain,24,176,70
Gianluigi Donnarumma,Milan,Serie A TIM,Italy,19,196,90
Alessio Romagnoli,Milan,Serie A TIM,Italy,23,188,78
Giacomo Bonaventura,Milan,Serie A TIM,Italy,29,181,75
Lucas Biglia,Milan,Serie A TIM,Argentina,32,178,63
Sebastián Coates,Sporting CP,Liga NOS,Uruguay,27,196,92
Elseid Hysaj,Napoli,Serie A TIM,Albania,24,182,70
Faouzi Ghoulam,Napoli,Serie A TIM,Algeria,27,184,80
Fabián Ruíz Peña,Napoli,Serie A TIM,Spain,22,189,70
Simone Verdi,Napoli,Serie A TIM,Italy,26,171,61
Jesús Corona,FC Porto,Liga NOS,Mexico,25,173,62
Héctor Herrera,FC Porto,Liga NOS,Mexico,28,183,72
Diego Perotti,Roma,Serie A TIM,Argentina,30,179,70
Stephan El Shaarawy,Roma,Serie A TIM,Italy,25,178,72
Alphonse Areola,Paris Saint-Germain,Ligue 1 Conforama,France,25,195,94
Víctor Machín Pérez,Atlético Madrid,LaLiga Santander,Spain,28,185,79
Luis Alberto Romero Alconchel,Lazio,Serie A TIM,Spain,26,183,74
Francesco Acerbi,Lazio,Serie A TIM,Italy,30,192,88
Marco Parolo,Lazio,Serie A TIM,Italy,33,184,75
Leon Bailey,Bayer 04 Leverkusen,Bundesliga,Jamaica,21,180,75
Lars Bender,Bayer 04 Leverkusen,Bundesliga,Germany,29,185,81
Julian Brandt,Bayer 04 Leverkusen,Bundesliga,Germany,22,185,82
Franco Vázquez,Sevilla FC,LaLiga Santander,Italy,29,186,82
Carlos Bacca,Villarreal CF,LaLiga Santander,Colombia,32,181,77
Víctor Ruíz Torre,Villarreal CF,LaLiga Santander,Spain,29,185,78
Felipe Anderson Pereira Gomes,West Ham United,Premier League,Brazil,25,175,70
Marko Arnautovic,West Ham United,Premier League,Austria,29,192,83
Eduardo Salvio,SL Benfica,Liga NOS,Argentina,28,172,77
Alejandro Grimaldo García,SL Benfica,Liga NOS,Spain,23,171,69
ime Vrsaljko,Inter,Serie A TIM,Croatia,26,181,76
Borja Valero Iglesias,Inter,Serie A TIM,Spain,33,175,73
João Mário Naval Costa Eduardo,Inter,Serie A TIM,Portugal,25,179,73
Antonio Candreva,Inter,Serie A TIM,Italy,31,180,70
Harry Maguire,Leicester City,Premier League,England,25,194,100
Jamie Vardy,Leicester City,Premier League,England,31,179,74
Daniel Garcia Carrillo,Athletic Club,LaLiga Santander,Spain,28,180,80
Yann Sommer,Borussia Mönchengladbach,Bundesliga,Switzerland,29,183,79
Koen Casteels,VfL Wolfsburg,Bundesliga,Belgium,26,197,86
Salif Sané,FC Schalke 04,Bundesliga,Senegal,28,196,85
Matija Nastasic,FC Schalke 04,Bundesliga,Serbia,25,188,83
Sebastian Rudy,FC Schalke 04,Bundesliga,Germany,28,179,74
Marcelo Antônio Guedes Filho,Olympique Lyonnais,Ligue 1 Conforama,Brazil,31,191,85
Marc Bartra Aregall,Real Betis,LaLiga Santander,Spain,27,184,73
Joaquín Sánchez Rodríguez,Real Betis,LaLiga Santander,Spain,37,179,75
Pau López Sabata,Real Betis,LaLiga Santander,Spain,23,189,77
Andrés Guardado,Real Betis,LaLiga Santander,Mexico,32,169,67
Michy Batshuayi,Valencia CF,LaLiga Santander,Belgium,25,185,78
Jeison Murillo,Valencia CF,LaLiga Santander,Colombia,26,182,78
Kévin Gameiro,Valencia CF,LaLiga Santander,France,31,172,70
Kevin Kampl,RB Leipzig,Bundesliga,Slovenia,27,178,67
Emil Forsberg,RB Leipzig,Bundesliga,Sweden,26,179,78
Adil Rami,Olympique de Marseille,Ligue 1 Conforama,France,32,190,90
Simone Zaza,Torino,Serie A TIM,Italy,27,186,84
Salvatore Sirigu,Torino,Serie A TIM,Italy,31,192,80
Andrea Belotti,Torino,Serie A TIM,Italy,24,181,72
Rune Almenning Jarstein,Hertha BSC,Bundesliga,Norway,34,190,82
Wilfried Zaha,Crystal Palace,Premier League,Côte d'Ivoire,25,180,66
Garry Mendes Rodrigues,Galatasaray SK,Süper Lig,Cape Verde Islands,27,173,70
Fernando Muslera,Galatasaray SK,Süper Lig,Uruguay,32,190,74
Maicon Pereira Roque,Galatasaray SK,Süper Lig,Brazil,30,191,89
Max Kruse,SV Werder Bremen,Bundesliga,Germany,30,180,76
Jirí Pavlenka,SV Werder Bremen,Bundesliga,Czech Republic,26,196,81
Mário Figueira Fernandes,CSKA Moscow,League of Russia,Russia,28,187,80
Benedikt Höwedes,Lokomotiv Moscow,League of Russia,Germany,30,188,77
Manuel H. Tavares Fernandes,Lokomotiv Moscow,League of Russia,Portugal,32,176,75
Fedor Smolov,Lokomotiv Moscow,League of Russia,Russia,28,187,80
Edin Vica,Medipol Ba?ak?ehir FK,Süper Lig,Bosnia and Herzegovina,28,172,63
Andrea Consigli,Sassuolo,Serie A TIM,Italy,31,189,82
Sebastian Giovinco,Toronto FC,Major League Soccer,Italy,31,163,61
Jean Michaël Seri,Fulham,Premier League,Côte d'Ivoire,27,168,65
David Villa Sánchez,New York City FC,Major League Soccer,Spain,36,175,69
Jonathan Viera Ramos,Beijing Guoan,CSL,Spain,29,170,64
Cédric Bakambu,Beijing Guoan,CSL,Congo DR,27,182,73
Anderson Souza Conceição,Guangzhou Evergrande Taobao,CSL,Brazil,24,191,80
Oscar dos Santos Emboaba,Shanghai SIPG FC,CSL,Brazil,27,179,66
Nicolás Gaitán,Dalian Yifang FC,CSL,Argentina,30,173,66
Emre Can,Juventus,Serie A TIM,Germany,24,184,82
Julian Weigl,Borussia Dortmund,Bundesliga,Germany,23,186,72
Phil Jones,Manchester United,Premier League,England,26,185,71
Marcos Rojo,Manchester United,Premier League,Argentina,28,187,80
Sergio Romero,Manchester United,Premier League,Argentina,31,192,87
Ashley Young,Manchester United,Premier League,England,33,175,65
Fabian Delph,Manchester City,Premier League,England,28,174,78
Nélson Cabral Semedo,FC Barcelona,LaLiga Santander,Portugal,24,177,67
Gary Cahill,Chelsea,Premier League,England,32,193,86
Antonio Rüdiger,Chelsea,Premier League,Germany,25,190,85
Sven Ulreich,FC Bayern München,Bundesliga,Germany,30,192,84
Daniel Sturridge,Liverpool,Premier League,England,29,180,76
Nathaniel Clyne,Liverpool,Premier League,England,27,175,67
Alex Oxlade-Chamberlain,Liverpool,Premier League,England,25,175,70
Eric Dier,Tottenham Hotspur,Premier League,England,24,188,90
Erik Lamela,Tottenham Hotspur,Premier League,Argentina,26,184,80
Danny Rose,Tottenham Hotspur,Premier League,England,28,174,76
Victor Wanyama,Tottenham Hotspur,Premier League,Kenya,27,184,87
Granit Xhaka,Arsenal,Premier League,Switzerland,26,185,82
Álvaro Odriozola Arzalluz,Real Madrid,LaLiga Santander,Spain,22,176,66
Mariano Díaz Mejía,Real Madrid,LaLiga Santander,Dominican Republic,25,179,75
Francisco Casilla Cortés,Real Madrid,LaLiga Santander,Spain,32,190,86
Jérémy Mathieu,Sporting CP,Liga NOS,France,34,189,84
Piotr Zielinski,Napoli,Serie A TIM,Poland,24,180,75
Arkadiusz Milik,Napoli,Serie A TIM,Poland,24,186,78
